,rank,full_name,ticker,market_cap,price,circulating_supply,date
0,1,Bitcoin,BTC,732465659891.77,39097.86,18734162.0,2021-06-13
1,2,Ethereum,ETH,291673894434.5,2508.39,116279249.0,2021-06-13
2,3,Tether,USDT,62574982573.8,0.9997,62591701539.0,2021-06-13
3,4,Binance Coin,BNB,56256011121.22,366.65,153432897.0,2021-06-13
4,5,Cardano,ADA,49783857547.19,1.56,31946342227.0,2021-06-13
5,6,Dogecoin,DOGE,42172193661.72,0.3244,130007902538.0,2021-06-13
6,7,XRP,XRP,40792805237.04,0.8832,46189574356.0,2021-06-13
7,8,USD Coin,USDC,23641140562.15,0.9996,23649890102.0,2021-06-13
8,9,Polkadot,DOT,21016241301.27,22.08,951980573.0,2021-06-13
9,10,Uniswap,UNI,13386217335.99,23.27,575149653.0,2021-06-13
10,11,Bitcoin Cash,BCH,11527111106.22,614.35,18762950.0,2021-06-13
11,12,Litecoin,LTC,11410049187.31,170.93,66752415.0,2021-06-13
12,13,Solana,SOL,10570271763.76,38.77,272637428.0,2021-06-13
13,14,Chainlink,LINK,10093735516.63,23.34,432509554000.0,2021-06-13
14,15,Binance USD,BUSD,9573005226.78,0.9995,9577984008.0,2021-06-13
15,16,Polygon,MATIC,9246400238.96,1.47,6293422325000000.0,2021-06-13
16,17,THETA,THETA,8776029924.41,8.78,1000000000.0,2021-06-13
17,18,Internet Computer,ICP,8328361378.02,64.57,128985798.0,2021-06-13
18,19,Stellar,XLM,7975828641.13,0.3447,2.3136435349e+16,2021-06-13
19,20,Wrapped Bitcoin,WBTC,7354329182.37,38899.3,189061.0,2021-06-13
20,21,VeChain,VET,7238308181.89,0.1125,64315576989.0,2021-06-13
21,22,Ethereum Classic,ETC,6869070967.02,59.06,116313299.0,2021-06-13
22,23,Filecoin,FIL,5759957370.48,73.19,78703968.0,2021-06-13
23,24,Dai,DAI,5219540064.28,1.0,5213654046.0,2021-06-13
24,25,TRON,TRX,5127685013.02,0.07156,71659657369.0,2021-06-13
25,26,EOS,EOS,4857348724.89,5.09,954226578.0,2021-06-13
26,27,Monero,XMR,4683523647.83,261.19,17931165000000.0,2021-06-13
27,28,Aave,AAVE,4058132278.98,317.13,12796465.0,2021-06-13
28,29,Kusama,KSM,3682100997.15,434.72,8470098000000.0,2021-06-13
29,30,Neo,NEO,3475782869.06,49.27,70538831.0,2021-06-13
30,31,Bitcoin SV,BSV,3209485648.99,171.09,18759477.0,2021-06-13
31,32,Algorand,ALGO,3203634962.54,1.04,3078785488.0,2021-06-13
32,33,Maker,MKR,3120630667.52,3147.63,991423000000.0,2021-06-13
33,34,FTX Token,FTT,3098187267.25,32.84,94346958.0,2021-06-13
34,35,PancakeSwap,CAKE,3051176735.04,16.87,180814840000.0,2021-06-13
35,36,Crypto.com Coin,CRO,3035528762.77,0.1202,25263013692.0,2021-06-13
36,37,IOTA,MIOTA,3036981317.48,1.09,2779530283000000.0,2021-06-13
37,38,Theta Fuel,TFUEL,3005733928.74,0.567,5301214400.0,2021-06-13
38,39,Bitcoin BEP2,BTCB,2853400013.82,39025.69,73116.0,2021-06-13
39,40,Tezos,XTZ,2807846448.27,3.31,848572685.0,2021-06-13
40,41,SHIBA INU,SHIB,2710887093.63,6.867e-06,394796000000000.0,2021-06-13
41,42,Cosmos,ATOM,2634621839.34,12.5,210767263000000.0,2021-06-13
42,43,UNUS SED LEO,LEO,2639985072.44,2.77,953954130.0,2021-06-13
43,44,Amp,AMP,2539912314.35,0.06015,4.2227702186e+16,2021-06-13
44,45,Avalanche,AVAX,2547455245.8,14.78,172409995.0,2021-06-13
45,46,Klaytn,KLAY,2536154945.72,1.03,2473297127000.0,2021-06-13
46,47,Terra,LUNA,2535249357.99,6.07,417524411.0,2021-06-13
47,48,Huobi Token,HT,2412939760.15,13.78,175074232.0,2021-06-13
48,49,BitTorrent,BTT,2328622965.38,0.003528,659952625000.0,2021-06-13
49,50,TerraUSD,UST,1903558242.82,0.9999,1903709519.0,2021-06-13
50,51,Decred,DCR,1789046245.92,137.39,13021530.0,2021-06-13
