"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Marketcap","Circulating Supply"
"2021-09-17","6.206538512843241","6.971344084055095","6.10597785692068","6.960103032865292","",""
"2021-09-16","6.9437541958876325","7.050406002567385","6.449969033281384","6.903564085476679","5935221834.938395","859732996.0946654"
"2021-09-15","6.899153138718979","7.646160128701341","6.728014167557718","7.1118119774209365","6113889606.272872","859680996.303567"
"2021-09-14","7.116393633771938","8.029491414296077","6.833403543540748","7.162210633477947","6155816448.310228","859485536.4259208"
"2021-09-13","7.170265056074493","7.8913241714577245","6.2895582582314535","7.030351977469808","6041906147.915573","859403080.7103385"
"2021-09-12","7.027616635192471","7.2383186903515675","5.906150825324058","6.120084401986841","5258971155.712217","859297161.654328"
"2021-09-11","6.120050146912879","6.949930472139892","6.049865220453424","6.1841888727472485","5312709849.622827","859079494.3270744"
"2021-09-10","6.183314457614793","6.872378605565512","5.318318917521087","5.567784916580821","4347466425.055496","780825137.8584641"
"2021-09-09","5.580670980346973","5.702663753432866","4.264186212319149","4.347747328278743","3733891852.376812","858810682.969253"
"2021-09-08","4.336282356720167","4.512444315564347","3.8980609186057236","4.405490780168586","3783062934.218361","858715435.575964"
"2021-09-07","4.415462044727363","5.715219758322242","3.878720839472614","5.597065677675379","4805561309.034235","858585835.110322"
"2021-09-06","5.599484163660781","5.773125333853226","5.403518785870052","5.567334619789261","4779374904.506787","858467333.276206"
"2021-09-05","5.569152269562277","5.600738586528993","5.266663915319959","5.400680383608628","4635713954.321125","858357396.670016"
"2021-09-04","5.401274008336051","5.5953404819743096","5.243093291082161","5.320179621626979","4566021443.892898","858245730.150094"
"2021-09-03","5.313223456418644","5.482098567462146","5.119911629903505","5.287769668502983","4531166091.045158",""
"2021-09-02","5.296353833428189","5.444155472140529","5.204651101677788","5.404384524303301","4649289226.867232",""
"2021-09-01","5.423477666030645","5.512622455075356","5.013893194661262","5.169121971442399","4429153234.973078",""
"2021-08-31","5.1649441470942445","5.597474079971841","5.008438468173257","5.492976789546157","4615938305.197456",""
"2021-08-30","5.391974881964113","6.00632158915399","5.284496545083471","5.886816460240196","5043465140.309554",""
"2021-08-29","5.895244657406075","6.133039317488389","5.395875136164423","5.630010399253331","4821347425.839412",""
"2021-08-28","5.635066891242783","5.691992524435406","5.021510185271987","5.229562454873939","4481721923.674064",""
"2021-08-27","5.242827520731565","5.526667616103244","4.2437898136678855","4.4365904373918745","3801790116.630686",""
"2021-08-26","4.437516488497816","5.125595776921307","4.3072426164835615","5.097762625306579","4340372610.920557",""
"2021-08-25","5.094021277028638","5.4403431776786455","3.9580955326609706","3.960343942931272","3393376547.7483134","856922427.3275748"
"2021-08-24","3.963545104377101","4.474707722292642","3.89110674930039","4.31208310492256","3694443867.386006","856871984.59512"
"2021-08-23","4.311045984455475","4.411724675830296","3.778354121404367","3.8025320975791983","3253632426.7663193","856704966.8097024"
"2021-08-22","3.8002942788228298","3.8852482824616805","3.6712225681543917","3.6900038106560626","3161032643.7214956","856651769.6415895"
"2021-08-21","3.695403927035935","3.834641623909243","3.6163856934778993","3.7278754257219733","3193160562.65262","856555195.482637"
"2021-08-20","3.7289238342312263","3.7344149476565645","3.5835501864242514","3.633693389242573","3117410223.6783633","856446448.653419"
