"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Supply"
"2021-09-17","0.10535931991211384","0.12049991549682204","0.10347668994383578","0.11605775870622635","71659657369.49"
"2021-09-16","0.11598428243258216","0.12247677197938567","0.11215869276636482","0.12083806638361606","71659657369.49"
"2021-09-15","0.1207199471495702","0.1230480698682154","0.11345408695785018","0.11826427254298529","71659657369.49"
"2021-09-14","0.11826748401367174","0.12030595682335143","0.10410839130901091","0.10467782662282711","71659657369.49"
"2021-09-13","0.10466571885090686","0.11707566192134333","0.0986926245803996","0.11250192208664897","71659657369.49"
"2021-09-12","0.11243370468591472","0.11841048014857915","0.09376124463940409","0.09554651694992063","71659657369.49"
"2021-09-11","0.09556051484643555","0.09700509755332784","0.09038925465691114","0.09075316279103517","71659657369.49"
"2021-09-10","0.09074808982859124","0.09587460543255312","0.08632424985338574","0.09306704762006823","71659657369.49"
"2021-09-09","0.0930582031850616","0.0946595352750597","0.09011656621666934","0.09326325529595049","71659657369.49"
"2021-09-08","0.092752288248704","0.09676465178423756","0.08345912579313282","0.08544001382009254","71659657369.49"
"2021-09-07","0.08544068152112588","0.10619573353846316","0.07736293364693514","0.10383330674636315","71659657369.49"
"2021-09-06","0.10385466403989124","0.10734256791751803","0.10106388115489096","0.10523839556599439","71659657369.49"
"2021-09-05","0.1052498757768437","0.10530467092658048","0.10102901417604808","0.10154415580267341","71659657369.49"
"2021-09-04","0.10152287640615903","0.1034825718993226","0.0993589495505997","0.10149874626955926","71659657369.49"
"2021-09-03","0.10163894583979363","0.10595283088447827","0.0976383845709768","0.09962341984360824","71659657369.49"
"2021-09-02","0.09957884668595657","0.10205102093494327","0.09434144690678142","0.09507032656369349","71659657369.49"
"2021-09-01","0.09502379071004849","0.09532927973925186","0.08726296905244349","0.08882029108068562","71659657369.49"
"2021-08-31","0.08882290240561642","0.09082133769308114","0.08511848494864882","0.08618688416046925","71659657369.49"
"2021-08-30","0.08618346770685723","0.08898398742657607","0.08567362242289435","0.08852313879895769","71659657369.49"
"2021-08-29","0.08851875115127132","0.09054386180430385","0.0867652233981757","0.08835666105471698","71659657369.49"
"2021-08-28","0.08834632397234655","0.08885345751624577","0.08637017090031941","0.08831342418331208","71659657369.49"
"2021-08-27","0.08833540653381448","0.08837956950986024","0.08152384656090311","0.08314899590914968","71659657369.49"
"2021-08-26","0.08305656686802677","0.08841898848052993","0.08194489098914153","0.08755074383882207","71659657369.49"
"2021-08-25","0.08756057994011059","0.0877617762120714","0.08291164969385172","0.08459426025451326","71659657369.49"
"2021-08-24","0.08460702863895765","0.09105021171765736","0.08378536564885566","0.08991242768599429","71659657369.49"
"2021-08-23","0.0899181341692346","0.09157668939560024","0.08773898745740485","0.08809547416263627","71659657369.49"
"2021-08-22","0.08803297807537191","0.09016977037015178","0.08593297338602975","0.08871149737488247","71659657369.49"
"2021-08-21","0.08806500073488539","0.09069795158800333","0.08771553660578113","0.09062438774580626","71659657369.49"
"2021-08-20","0.09063829391835158","0.09091829502744087","0.08642453302603136","0.08826548874453813","71659657369.49"
"2021-08-19","0.08827071202716275","0.08833576600333178","0.08170720855968325","0.08459292112243032","71659657369.49"
"2021-08-18","0.08459530144419053","0.0875355193589142","0.08115217616372769","0.085343","71659657369.49"
"2021-08-17","0.08509905382121735","0.09225672379365833","0.08470869636110166","0.08936483668079527","71659657369.49"
"2021-08-16","0.08934397961821619","0.09669517738702983","0.08823406509613943","0.0931084931878834","71659657369.49"
"2021-08-15","0.09302156131292498","0.0951918399281219","0.08927723994404986","0.09267474557899957","71659657369.49"
"2021-08-14","0.09271030150552852","0.09336148473065137","0.08678574036909888","0.0895265868108019","71659657369.49"
"2021-08-13","0.08955653421658548","0.08964075630284091","0.08274917496292958","0.08288885484052103","71659657369.49"
"2021-08-12","0.08420687498282418","0.091509835782344","0.0805593331446134","0.083452629672988","71659657369.49"
"2021-08-11","0.08348764930982067","0.0864016369115459","0.07420971141697094","0.07464770764909565","71659657369.49"
"2021-08-10","0.07460269628659388","0.07571745859975847","0.07221302096264179","0.07394253464673793","71659657369.49"
"2021-08-09","0.07397530064473896","0.07484707143024052","0.06971318523957863","0.0719516223109015","71659657369.49"
"2021-08-08","0.07196581910104854","0.0761672778464742","0.07079418533037274","0.07532648852128129","71659657369.49"
"2021-08-07","0.07532237635308299","0.07651628172502782","0.07177127975791309","0.07193829109360023","71659657369.49"
"2021-08-06","0.07200528936961964","0.07256687120523266","0.06979678188548501","0.07019037908877017","71659657369.49"
"2021-08-05","0.07018986797228595","0.07087202909411283","0.06668063828565544","0.06736713804165867","71659657369.49"
"2021-08-04","0.06736671372466185","0.06815078981889812","0.06351269602339008","0.06403431073726445","71659657369.49"
"2021-08-03","0.06402540097020554","0.06548017406093955","0.06278965776366513","0.06464889661726998","71659657369.49"
"2021-08-02","0.06465752548424741","0.06571934696018038","0.062157657010160856","0.06324396817419603","71659657369.49"
"2021-08-01","0.0632209696288714","0.06686651332991345","0.06241939533370653","0.0640743929526716","71659657369.49"
"2021-07-31","0.06403178487416247","0.06475021861976774","0.06235902154504362","0.06328507017953358","71659657369.49"
"2021-07-30","0.06329599145075063","0.06334467512222396","0.05975244420050639","0.06177322051220218","71659657369.49"
"2021-07-29","0.06188913792146877","0.06241210750112528","0.05955281054901116","0.06061337963503188","71659657369.49"
"2021-07-28","0.06073882033548265","0.06196554379296525","0.05963666769199657","0.06021950008622889","71659657369.49"
