"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Marketcap","Circulating Supply"
"2021-09-17","260.7505601773628","268.26059089611","257.15005395578424","264.2591299276383","4755124680.959297","17994173.68195145"
"2021-09-16","264.1838898399285","273.9004477401798","259.76121470440677","269.5791438412016","4850697460.862856","17993593.24221391"
"2021-09-15","269.49230554367676","275.41620188241586","265.45025559399807","269.5285712306422","4849620099.449519","17992972.23780992"
"2021-09-14","269.26594484928796","275.7942121754253","256.1057426376032","263.4709692342743","4740455600.3466215","17992326.1151838"
"2021-09-13","263.4904131858208","270.76092571169545","241.6478596381678","256.202153184381","4609511810.420559","17991698.16930942"
"2021-09-12","256.2929437049797","258.53839819706195","246.2222961178735","249.82867134380479","4494690815.848851","17991092.8224224"
"2021-09-11","249.87105228485822","258.7180701982598","247.354277203986","249.15669280816064","4482445823.477006","17990469.26236208"
"2021-09-10","249.15668268914683","268.4200563657357","244.37450654965394","261.59152397831986","4705980900.093493","17989806.50643526"
"2021-09-09","261.73794455669525","266.66215341643385","253.86922261577638","259.3066605107593","4664728302.27351","17989234.41875863"
"2021-09-08","257.1431385933084","271.324770863955","244.72701362810142","261.32157009312095","4700807490.59932","17988593.47479125"
"2021-09-07","263.1746566490985","316.3929875654195","232.65112237215567","315.16018382536504","5666772913.367848",""
"2021-09-06","315.13838405897445","322.0251786753377","301.01893347209256","315.6018743000278","5674627374.8864155",""
"2021-09-05","315.60926616760054","320.0911481005054","299.8517638744954","305.5177676986087","5493349882.915651",""
"2021-09-04","305.42482429862474","311.9708497938123","299.17060685727654","304.05291095394824","5465962371.336459",""
"2021-09-03","304.46365993677927","310.54461038769705","296.80739626407365","302.64406387469415","5441585908.007112",""
"2021-09-02","302.73629538863145","310.0268414277678","297.8044868741033","302.94362674491344","5445446832.357361",""
"2021-09-01","303.0857688689667","304.085502925697","279.9141887765795","285.67760621162506","5147935972.66735",""
"2021-08-31","285.9820088332036","292.9572208677662","279.3828130966297","281.83671551446605","5067162862.379227",""
"2021-08-30","281.846368516584","295.40725281688674","280.9384151210468","291.540256008778","5241987160.542226",""
"2021-08-29","291.5869840605755","307.04882484985654","286.5508842021414","300.78983128996794","5408280997.132235",""
"2021-08-28","300.7849142296436","316.8502053184592","298.47712446493716","314.90267779809136","5662165222.952633",""
"2021-08-27","315.1684271245643","317.05825874990177","285.92059186440684","291.4207715900387","5241495528.638096",""
"2021-08-26","291.51962987871843","317.5169288862074","286.24007649189036","313.90841008553383","5644314548.305516","17980328.32463869"
"2021-08-25","314.2394705173419","325.15148156750837","297.59237749018416","307.83962876905304","5534858852.355977","17979669.54359181"
"2021-08-24","307.6789675595103","339.8181245765326","302.59462645148886","318.39740021705404","5724348698.524782","17979021.42918538"
"2021-08-23","318.3456055949199","334.6181953501246","302.22787672306777","305.5778695233246","5500386498.731687","17978392.96293864"
"2021-08-22","306.2841275482673","306.96278590840313","275.7548721804118","288.0155092059408","5177885043.622538","17977754.7080436"
"2021-08-21","288.13471955643905","293.5932385985043","272.9042271791891","282.0825169607155","5071208287.8127","17977104.83165786"
"2021-08-20","282.2066143808374","283.5808063411381","261.70269912285426","264.2962844976329","4749823479.541892","17976456.74677671"
"2021-08-19","264.34250159439097","264.5543042954518","247.10529361007485","252.69735622875967","4542372104.017732","17975789.80257384"
"2021-08-18","252.60686846567594","262.09892031438363","245.87041014958132","256.2177023340615","4605525869.395005","17975177.680928"
"2021-08-17","256.1998006904781","278.2065046116314","255.2874917785033","269.39769963031654","4798212136.919938","17974510.72458241"
"2021-08-16","267.0817373961209","285.1811520339652","266.18196900189497","272.0757828839819","4890252117.602193","17973862.67048371"
"2021-08-15","272.09867815716837","276.0229915512021","261.7765375830051","271.5962042299705","4881472958.4647665","17973238.11054412"
"2021-08-14","271.69922399193104","279.61291086384267","265.08284053886797","273.1118551493069","4908630908.641738","17972581.97706363"
"2021-08-13","273.0242373052021","273.5360833623185","254.94252455635603","257.40073755410134","4626253765.020862","17971921.31150439"
"2021-08-12","257.47690297116236","276.8630996220414","252.3164567057957","268.41210339690963","4826268360.300627","17971270.60780857"
"2021-08-11","268.3179549946518","279.61187425402363","265.9089069974786","266.15966177463883","4782961725.734172","17970618.1051386"
"2021-08-10","266.4834794687542","271.09260032458394","258.30155755879593","269.4403009990561","4841825419.830356","17969963.7972113"
"2021-08-09","269.46527610249535","272.26831713170685","253.4078010271582","257.23024968277485","4622237910.16792","17969273.98457513"
"2021-08-08","257.28052705016233","275.0031020499718","256.1530481029936","271.73268553849374","4882687371.528618","17968640.62752035"
"2021-08-07","272.03552553075264","276.0956806479336","259.2645807811954","263.2613366647154","4730326634.569342","17967986.34285205"
"2021-08-06","263.1380500614129","268.04393374818267","250.6384967496858","252.7775119725396","4541651585.97798","17967357.67893146"
"2021-08-05","252.95792179914244","254.27775904758988","236.80161091446936","244.79125359156845","4397284655.653065","17966655.85757564"
"2021-08-04","244.51222258460314","245.78947361443403","222.93917423962174","225.69136993689892","4054756779.6674447","17965997.93859941"
"2021-08-03","225.8544610543325","236.9240771601025","223.54776386343593","232.6819719132872","4180186119.205593","17965335.44531796"
"2021-08-02","232.64634739505362","244.65460245617035","228.37759015689454","236.0423047626449","4240443348.7166114","17964725.3668283"
"2021-08-01","235.71276152518772","249.59748918392012","232.24704108294577","240.0761259532641","4312790475.044086","17964010.4807884"
"2021-07-31","240.0298710878443","249.15450000481843","234.43432074115935","242.56342435582908","4357179987.944672","17963376.59753529"
"2021-07-30","242.13559897642187","245.7389752405359","230.21642893319319","241.5634784723564","4339130104.336764","17962684.64062545"
"2021-07-29","241.60761753881323","248.4643766489749","230.79610130407494","234.90837720044215","4219167245.511633","17962012.95854347"
"2021-07-28","235.49325527666116","235.56725624787776","222.26281166218232","226.12202192351322","4060953708.4458737","17961364.41591923"
"2021-07-27","225.7152335617895","227.5142326904136","214.1817247968988","219.865189884122","3921051669.7492633","17960694.61124448"
"2021-07-26","218.09058874478262","235.24661961303218","212.50308290934302","213.5448045189976","3835268472.1422734","17960033.16462017"
"2021-07-25","213.02436637443603","214.86348551331733","204.20494587894936","208.6124314395429","3746603909.996616","17959342.92862358"
"2021-07-24","208.7018167505829","210.95559578524978","201.48409521839767","203.88940625414912","3661531440.6465178","17958674.05673133"
"2021-07-23","203.93742672541305","204.0624957254532","194.30160647898816","196.79109602420598","3549927998.05665","17958020.11401487"
"2021-07-22","197.69743657746636","202.4664535218706","190.08068247180358","196.76227955651927","3533546818.320374","17957358.76147776"
"2021-07-21","196.7054632554359","200.50021630666788","178.97581157645953","182.92072670281047","3283028491.4509687","17956684.36298125"
"2021-07-20","182.8957489176243","191.72493167603193","178.61418286020609","189.0848292910779","3394580145.7374506","17955991.24960302"
"2021-07-19","189.01266292585242","200.52462876392661","187.65301384131615","199.52919562741133","3583422956.762326","17955336.5241823"
"2021-07-18","199.4757240192454","205.13329778359804","196.9888140265376","197.64652808146187","3549816811.210009","17954664.96995604"
"2021-07-17","197.56301366263676","199.50411129445672","191.08828870672153","193.04902213884407","3472542950.1442885","17953958.66094293"
"2021-07-16","193.06448842506148","200.15889205905052","191.13890928674257","196.84754303086842","3532133711.774402","17953307.81447626"
"2021-07-15","196.6798037643885","205.5486468348157","190.12622333981858","203.26605146929074","3646539871.233825","17952638.2002453"
"2021-07-14","203.3601314913467","205.05590406076703","192.44503021830945","203.7658621601009","3656277256.970504","17951967.67796192"
"2021-07-13","203.83767785957377","211.63330534275076","200.44396856789308","206.35466277421529","3703708516.376764","17951282.06851863"
"2021-07-12","206.3081699686805","217.36115516126796","202.87562002879756","211.7567358312997","3797459376.1121783","17950586.04902495"
"2021-07-11","211.59004631598643","214.72014657999202","207.83186727464135","209.62465487073018","3763160659.0292573","17949924.11219037"
"2021-07-10","209.66442736504428","217.5661823455464","206.76893840166179","212.9711946610274","3822474925.444065","17949255.59990026"
"2021-07-09","212.821022207058","214.93102590614347","199.70269961687998","205.3423323178757","3684357544.1636515","17948580.48578708"
"2021-07-08","205.31890697586095","215.8798914161668","201.88293370237503","215.1320556349051","3853229479.63772","17947875.91242126"
"2021-07-07","215.25494686976316","231.6653374279298","214.35979017318735","222.1110499508392","3986054598.590905","17947192.25711412"
"2021-07-06","221.96545082350875","222.40153874177625","211.68272924897988","214.2254165046102","3845137978.266887","17946511.48118803"
"2021-07-05","214.52448898259055","220.5072020191445","205.67103640325024","218.88443047907464","3946562162.3728685","17945809.71303552"
"2021-07-04","219.94374335596692","225.11437206110125","212.99606104637803","214.85220718805306","3853477465.6601987","17945136.62126081"
"2021-07-03","215.0283998923705","216.7574404608856","206.80795057655837","211.50737542377968","3790756427.2992477","17944420.46878196"
"2021-07-02","207.7136937836786","209.34404794840333","204.87372341838523","206.25569069569826","3684415424.572424","17943738.79478918"
"2021-07-01","205.5018958336928","223.32895374327734","203.05887410683252","222.47971818738844","4001302602.488021","17943060.99770413"
"2021-06-30","223.22558191524027","223.87683550167208","208.89979560697117","217.33565473871144","3908124368.6471386","17942348.6164404"
"2021-06-29","217.818539058597","227.43735334638134","212.17670534926214","212.90344691799652","3824270770.357446","17941641.971062656"
"2021-06-28","213.1263750883952","217.46848937829571","205.92433268437256","211.2529760648917","3790501135.880411","17940965.209120486"
"2021-06-27","211.9480769708965","212.20195277057852","195.57331498324564","202.7251001165214","3640103071.9597282","17940265.319339678"
"2021-06-26","202.85213469246798","203.57746829876342","185.1238596787333","196.10969726560847","3496133471.660586","17939585.74510757"
"2021-06-25","195.03749235499728","227.75162561945388","192.67199557694994","225.32564786931164","4043531792.5703697","17938914.943964146"
"2021-06-24","225.71583468537887","227.41114995328363","204.29751817024314","218.64358777022602","3921272028.0291686","17938166.628660183"
"2021-06-23","218.58352867899964","224.79423753442362","193.01155689761066","201.5298670758312","3616588154.565181","17937474.525626626"
"2021-06-22","201.9354312026118","226.15522698508246","180.29015279521764","203.3702220797693","3647061191.9172935","17936825.250663918"
"2021-06-21","203.04952755541078","265.60798419037724","200.09074810183841","264.52473261751925","4738682597.24677","17936101.1269613"
"2021-06-20","264.4978729125972","271.33087890916295","247.95106160662115","269.3896970189753","4810225958.860664","17935404.261088938"
"2021-06-19","268.05514374052507","282.09972196181695","263.40471092774527","264.7240416306538","4761303792.794431","17934698.63189103"
"2021-06-18","265.8706100694791","279.970799315368","260.9851769935532","276.91944721098355","4968987778.513121","17934002.785472024"
"2021-06-17","277.1583601818238","281.743394902521","261.8762243164721","262.5016348267155","4710302444.971437","17933269.757860135"
"2021-06-16","262.84268814416924","288.65100317157936","259.6370119081666","279.048263207228","5007208892.093609","17932590.603549864"
"2021-06-15","278.3177805793879","285.5281365415915","272.28881560702763","275.4837568104037","4948650629.343932","17931897.785284553"
"2021-06-14","275.597113160786","277.1603006462309","258.6144987736581","261.5228428434929","4685379439.073267","17931164.698865864"
"2021-06-13","260.77389773134576","263.13231531027554","237.5464256953485","242.97034607714787","4358638314.22759","17930486.69872238"
"2021-06-12","243.08302138608641","252.50435672182851","232.09380944378654","242.83875934296483","4355580441.964031","17929739.76899515"
"2021-06-11","242.9242495487937","258.53895192382487","240.23261737498387","255.3967821678672","4578138035.499916","17929043.110654622"
"2021-06-10","255.68915926731438","283.1632708729597","254.48343035025937","274.23507835860676","4917774075.825093","17928302.003584456"
"2021-06-09","274.8210636361294","275.5034094287954","237.4598595347622","254.44051465049935","4542035917.530578","17927644.001443278"
"2021-06-08","253.7287535332337","255.86884422081175","222.17592698722245","249.44940872158213","4464577747.593763","17926926.67218765"
"2021-06-07","249.21510606045257","282.01878467185315","247.0952868278312","272.51501094884713","4884273891.801761","17926203.386434745"
"2021-06-06","272.4935991799915","277.0708648176078","262.59028616617707","264.173367218662","4733120535.197471","17925475.115994528"
"2021-06-05","264.1083215687924","295.17134224215397","257.4786177244107","287.2713035494546","5150224241.303279","17924748.816178244"
"2021-06-04","287.53800436896364","311.90551184650735","267.96292847793615","308.2642790784494","5526883444.315431","17924041.44272118"
"2021-06-03","309.4445420690421","316.06010873344974","285.7952055327571","294.01763468682447","5269366789.636165","17923348.08767863"
"2021-06-02","294.45806968964945","295.09329443573387","262.5020843983918","266.05597525889567","4768768024.332636","17922586.83192173"
"2021-06-01","266.24034538748924","276.4344632615334","252.7359432832671","272.7187985791474","4888076735.421045","17921903.557503883"
"2021-05-31","272.40372092517","275.9338920020976","242.6751396955865","260.92801874368485","4699988657.154777","17921166.26524014"
