"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Marketcap","Circulating Supply"
"2021-09-17","13.008189755831761","14.948236591169094","12.652270142415992","14.64120241507494","1681418130.4858994","114841533.01197928"
"2021-09-16","14.619015287010797","15.937851287434714","13.85128386033027","14.97336274183146","1719563931.6163783","114841533.01197928"
"2021-09-15","15.012144908081975","15.359674276271138","13.05681207572503","13.788619978296365","1583506256.427159","114841533.01197928"
"2021-09-14","13.80124385575983","13.9785966287265","12.198734183624728","12.630674022021601","1450525967.663543","114841533.01197928"
"2021-09-13","12.862255379372943","12.937996995143836","10.065423743859713","10.955156934314223","1258107016.7234607","114841533.01197928"
"2021-09-12","10.960703539619887","11.441683148077784","10.58117195520654","10.813107813659096","1241793877.9444222","114841533.01197928"
"2021-09-11","10.824123337219941","11.077273723151018","10.48229206446965","10.53949260676428","1210371488.1292317","114841533.01197928"
"2021-09-10","10.554251494625225","11.850535212481073","10.233245746809049","11.300560802440447","1297773726.4473438","114841533.01197928"
"2021-09-09","11.330204222054853","11.579766641921175","10.769717494265802","11.039672785532515","1267812946.6411817","114841533.0119793"
"2021-09-08","11.067243748192134","11.312827897043748","9.856981507076298","10.71829007031311","1230904862.9418328","114841533.0119793"
"2021-09-07","10.748077616365713","14.301722143249854","9.254656781012379","13.570611506597539","1558313748.5036893",""
"2021-09-06","13.582562177324501","13.934434948275344","12.452061041288875","12.93789225301408","1485746252.933273",""
"2021-09-05","12.943078517102611","13.121587964723709","12.216177087491939","12.363267505316626","1419818317.7077014",""
"2021-09-04","12.3669953412659","12.914511426869078","12.247058714271212","12.450426974028723","1429900198.3103545",""
"2021-09-03","12.446006309238062","12.95746919132904","12.111340302185805","12.511737672681074","1436892916.4185643",""
"2021-09-02","12.528059684174194","13.001146536352454","12.122464560683191","12.507551982701422","1436562155.4873736",""
"2021-09-01","12.514373954346757","12.529959987734818","11.280381887815242","11.385222133865964","1328671295.3833194",""
"2021-08-31","11.580933243910733","11.865807220149906","10.929151449552572","11.109567236479196","1275735334.426015",""
"2021-08-30","11.120176306348913","11.9728158061634","10.96698093049021","11.650216154446854","1336892509.4951472",""
