"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Supply"
"2021-09-17","625.1078199397328","648.0065166279567","612.925492064333","639.3881979445678","19470275.18355463"
"2021-09-16","639.4107733506745","655.7795520490018","626.0381609126673","653.7979577726667","19469743.91897006"
"2021-09-15","652.9778680619905","657.2637840687338","632.7036710308836","640.5341659598181","19468850.14234039"
"2021-09-14","640.816280528863","643.0959918578637","608.650159548319","614.1990435656165","19467993.88514513"
"2021-09-13","614.2832633995532","661.0025979150911","591.7819822968997","646.6863261280021","19467125.13041354"
"2021-09-12","646.671772141109","655.2578633607527","623.2954090793336","636.5638659838721","19466343.87647818"
"2021-09-11","636.391080266025","647.99638769337","625.6983070385346","628.8073753950403","19465406.37044149"
"2021-09-10","628.8905082422341","673.9859935183152","618.1134352678295","661.4055441591685","19464475.10817427"
"2021-09-09","661.41264213614","673.4243066238365","655.6665606614426","664.9444460788454","19463631.35363932"
"2021-09-08","662.6996630021497","679.9718624771341","643.7694475110385","673.3820459983896","19462725.09389082"
"2021-09-07","673.6560704059766","787.9542657268381","582.8450049819785","784.8602864272302","19461706.33571218"
"2021-09-06","784.8951089917921","804.0465011359256","741.5151728885419","764.4728594723397","19460950.07034312"
"2021-09-05","765.0891214946282","767.7190929418636","698.6862457608235","709.5361039717308","19459962.56518489"
"2021-09-04","709.1682372255015","735.3079065125335","697.7407792361874","713.6899292061331","19459012.56104157"
"2021-09-03","713.3323013745321","722.0094305435396","651.2274805434064","664.6770788011211","19458037.55780179"
"2021-09-02","664.580729941881","674.4246712524016","652.8369266013498","656.9312666667663","19457056.30277853"
"2021-09-01","656.201125963024","657.4542341516069","625.7515507328934","636.4659966915473","19456137.5474694"
"2021-08-31","637.0337606507991","651.5066465445309","624.1625443430112","632.1796226999849","19455256.29272286"
"2021-08-30","632.8098954259032","665.8071943002301","630.5253979314009","659.5722755937256","19454343.78585491"
"2021-08-29","659.6734553909553","693.1826680418746","646.5124772765703","646.5431363325362","19453493.77487283"
"2021-08-28","646.9552621672643","647.0186497231126","622.7480502544834","636.098504501192","19452512.50381378"
"2021-08-27","636.1030503472696","636.6963206697352","596.6135980462318","606.2781856566578","19451543.74238602"
"2021-08-26","606.3681269008092","656.3834145081843","604.3434417702085","650.3654351404577","19450681.23912076"
"2021-08-25","650.7589987295678","658.8827046984493","626.5758255862739","636.8363890395283","19449793.6755414"
"2021-08-24","636.921537972311","684.0396764272921","633.7803504382521","677.8833118603126","19448631.16262201"
"2021-08-23","678.7719527729691","694.7730538349462","664.3273266548513","673.0531609418484","19447818.65764657"
"2021-08-22","672.5345965361907","690.0928480332717","652.593333563304","675.7469887660379","19446843.64699724"
"2021-08-21","676.0070749522806","700.5592191570792","671.7745458465279","694.0750081447605","19446018.64447758"
"2021-08-20","694.1446190799954","700.5035538444465","652.2203495966017","658.3743060571153","19445156.13497839"
"2021-08-19","660.0438649760165","660.3512552624522","619.6425055890849","633.6945446910456","19444256.10416284"
"2021-08-18","632.3223111403183","655.3386238775021","619.6204726370056","638.3889356755589","19443374.8501609"
"2021-08-17","639.0569036887543","691.2569449939908","637.7978622924823","682.5473920528862","19442512.34169236"
"2021-08-16","674.0992543871356","715.2224442155657","673.2570691631761","703.8446013526352","19441681.0837926"
"2021-08-15","703.8385621128464","710.192774410958","672.9121409308415","674.2727877501328","19440856.07035165"
"2021-08-14","692.3673484696301","693.3532367282078","642.5932340292181","654.6380879071895","19439812.30026129"
"2021-08-13","654.7988131225146","655.8170883383298","601.5631981610522","605.8733475415441","19438781.02882167"
"2021-08-12","606.4625210857068","650.19410733504","592.6064980446516","620.7423125238636","19437693.49693408"
"2021-08-11","620.8855987827768","632.6604103983485","590.8043764437567","592.4063326873845","19436799.723135"
"2021-08-10","592.4571180469586","606.8796593668017","573.7251399749796","591.3739001982462","19435799.71364691"
"2021-08-09","591.6455288383665","601.2096084300646","543.3282104218927","556.00158257447","19434880.9391912"
"2021-08-08","556.1132737158455","590.4344866418057","554.8861935015325","583.8686324459335","19433930.92185812"
"2021-08-07","584.0302880419231","591.3129973163419","553.7403630308311","557.5909208064933","19433137.12389753"
"2021-08-06","557.428729575996","562.5643246120131","537.14315493334","549.0225915540118","19432180.85775765"
"2021-08-05","548.8032362608826","551.1068916461569","522.6260819537168","545.7344737566465","19431362.09033125"
"2021-08-04","545.3614816817972","552.6606935776746","524.8837370758941","538.2177531046254","19430512.05533621"
"2021-08-03","538.529770795772","552.1421064707115","521.5639409324599","543.820539672499","19429705.77675862"
"2021-08-02","543.5113431022974","567.6621482565265","519.7898796874499","526.8292181671865","19428786.9999611"
"2021-08-01","526.4502434947593","563.337381445892","513.6800609254706","546.5390099700036","19427736.97022752"
"2021-07-31","546.2662899335558","558.421744620377","537.1097060894941","552.9217524600452","19426830.70644648"
"2021-07-30","552.9938756452435","553.7756202398785","517.7111025174592","538.4216224474968","19425743.17841174"
"2021-07-29","538.9542268938587","547.3903470290741","498.91886361462724","509.6763856621822","19424924.39449311"
"2021-07-28","511.6513530479021","519.7618849827332","489.75178222859023","501.81690820751896","19423924.32982275"
"2021-07-27","502.16847159134954","504.5035196511996","467.3022454778064","486.2719502618816","19423018.01587047"
"2021-07-26","481.4397761882616","517.954339189464","453.10909718644507","455.25818242962936","19422111.70116002"
"2021-07-25","455.341858996679","459.9572816538496","441.50859814124016","458.9681148708064","19421242.8203398"
