"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Marketcap","Circulating Supply"
"2021-09-17","33.693460019796916","36.949366465191595","32.847301411596575","35.525658117750034","35084405107.32719","987579314.957085"
"2021-09-16","35.515863566390664","36.98352147315016","34.036176537414065","36.467462738217044","36014511869.23141","987579314.9570849"
"2021-09-15","36.48010496777407","38.025288692850026","35.57142590756594","37.395873503626305","36931391136.933075","987579314.957085"
"2021-09-14","37.37662192457585","38.76818039989326","34.09217610403652","34.81168397820002","34379299015.69331","987579314.957085"
"2021-09-13","34.85496838602641","38.03696770378269","31.547048054085234","35.8077024804761","35362946285.855705","987579314.9570851"
"2021-09-12","35.801106490203146","36.459071786578335","30.667304101215667","31.55745429197808","31165489091.461235","987579314.957085"
"2021-09-11","31.572634780083508","32.10460937563971","28.26339050164361","29.180501094666152","28818059281.17487","987579314.9570851"
"2021-09-10","29.194398415756773","32.66377672186968","28.00157201065128","29.828115301893643","29457629676.30507","987579314.957085"
"2021-09-09","29.839104690102662","31.87627293613344","27.00970025660616","27.324377587324616","26984990099.31877","987579314.957085"
"2021-09-08","27.772921646321944","28.897010893985264","25.21089419699499","27.865900428302883","27519786855.645702","987579314.957085"
"2021-09-07","27.97204571358832","35.700175343774774","22.65319858844643","34.33115282050458","33904736384.160908","987579314.957085"
"2021-09-06","34.361338028220565","35.09898509034385","32.352779764333604","34.43252886820617","34004853271.903103","987579314.957085"
"2021-09-05","34.44542701619746","34.790427495997356","31.994757089600952","32.42111904976771","32018426541.311695","987579314.957085"
"2021-09-04","32.411938975830694","34.141920658326164","32.02860683164278","33.622609423395","33204993581.426064","987579314.957085"
"2021-09-03","33.58154089566219","34.0270455848555","30.934008938512207","31.805903098716605","31410851993.82197","987579314.957085"
"2021-09-02","31.804807081234294","33.234150395599045","31.28224700939098","33.16344315630699","32759208039.679672",""
"2021-09-01","33.19786885393008","33.84746273739719","29.618693327810327","30.14825432506517","31028506093.61419",""
"2021-08-31","31.364300045611742","31.960957620311536","25.632687095848315","26.047310746542397","25714388789.236156",""
"2021-08-30","26.044941285610467","27.59744574414892","24.334771974832073","25.71244125602418","25393295197.815876",""
"2021-08-29","25.723906577937395","26.473936401563506","25.27379179774272","25.98110210775274","25658376146.217087",""
"2021-08-28","25.97524966999625","26.774406056085333","25.425978246722874","26.557533150149155","26227687623.49116",""
"2021-08-27","26.55004513336808","26.80387007564608","23.458925991792956","23.975442211412794","23677848408.346256",""
"2021-08-26","23.927443288701276","26.412854776538243","23.46816391145163","25.924588024428903","25652409192.68483","987579314.957085"
"2021-08-25","25.993118917237823","26.567717126948352","24.472816459742667","25.09465159466653","24788345829.98073","987579314.957085"
"2021-08-24","25.076894950255554","28.181700663971167","24.36090994653197","27.883276211785482","27536966512.960766","987579314.9570849"
"2021-08-23","27.891404777668566","28.64845268984225","27.340977387431245","27.736153751932665","27378017757.524414","987579314.957085"
"2021-08-22","27.697626070652472","28.54138263698735","26.530759595771876","28.274273531052586","27530133718.295414","987579314.9570851"
"2021-08-21","27.88483190699905","29.363893750205317","27.365352669293955","28.153950479803633","27806217736.192017","987579314.957085"
"2021-08-20","28.157374935310454","28.486945509014614","26.08185018351087","26.577677203070156","26247668179.069828","987555854.2071266"
"2021-08-19","26.578486296149073","26.845574409835024","23.33394459592605","23.893483940633278","23594390163.12225","987269676.7293646"
"2021-08-18","23.881291997236136","25.178690856902467","22.503287266103385","23.54436970091445","23240723597.984024","987067710.341219"
"2021-08-17","23.539930885894105","27.43074290010782","23.01782198230885","24.52512954051692","24132400696.29008","986806303.8936225"
"2021-08-16","24.451915386363133","25.71389760886005","22.845464802161295","23.175838413355276","22861335066.880802","986505059.0212235"
"2021-08-15","23.17044073659241","23.352406740839434","21.837551471771803","22.860554455728547","22543460977.137753","986116826.2652224"
"2021-08-14","22.857522767588268","23.493521114859526","21.79379954482487","22.737251123605574","22417798678.863266","985916240.6924239"
"2021-08-13","22.737787145144864","22.74543582941189","20.518710805717475","20.7525375178274","20436788746.268684","985684471.5433491"
"2021-08-12","20.7683765554623","22.33304916387287","19.940949414382768","21.36998286230591","21086725645.80113","985422257.0412415"
"2021-08-11","21.362308055950336","22.47865952283267","20.55522230306426","20.60409612186372","20298577839.38379","985164594.6662664"
"2021-08-10","20.612733572942318","21.432225123495563","20.091865658899792","20.5992336799924","20239927489.525303","982556066.7095715"
"2021-08-09","20.575502170683183","21.275820612908305","18.717465636104695","19.667592311022776","19318679136.553528","982249788.8433051"
"2021-08-08","19.666335679457003","21.22474696420822","19.207015121167935","20.997156114708964","20619318849.743237","982012912.2113411"
"2021-08-07","20.985792066869266","21.69936370340545","20.03910554911893","20.43223174575746","20019909291.60585","981463458.0132704"
"2021-08-06","20.426099899129667","20.81328951153871","18.515953999663157","19.13703531205381","18775621417.230595","981156747.4378123"
"2021-08-05","19.133302283418974","19.456449933486724","17.860286165947535","19.162946191150173","18791741332.53581","980906418.8025823"
"2021-08-04","19.1451112904259","19.58810196050978","17.0963363015979","17.390989304639177","17054458270.603662","980646335.5886737"
"2021-08-03","17.425894947239588","18.551240113431536","16.81323101653132","17.991932465339403","17643195081.736","980616870.5968437"
"2021-08-02","17.993811614222682","18.942751910663663","17.562596224045027","18.45603055815794","18093142777.204876","980254251.8932725"
"2021-08-01","18.426433474963844","19.907892862763493","16.560998998702118","16.801383983122044","16465985914.796366","980038874.3440114"
"2021-07-31","16.79134226985703","17.029912389219135","15.586866657328642","15.82568567193397","15493785582.497374","979595804.9643888"
"2021-07-30","15.80490790383179","15.860910322385037","14.415829118486876","15.24932650964993","14934259561.981915","979357451.4705611"
"2021-07-29","15.257967113969812","15.39900784235522","14.266096566507569","14.541350527883866","14236499325.30282","979071683.1929538"
"2021-07-28","14.550155502507303","14.765856178221346","13.93362987749808","14.373679643344818","14072338609.39316","978867200.507864"
"2021-07-27","14.375126141291457","14.550683725335702","13.370348043752085","13.93177855576906","13634405640.80383","978607326.5467348"
"2021-07-26","13.927934341492653","15.298578783771738","13.644575819200544","13.734309033759182","13436156707.899096","978287215.8119397"
"2021-07-25","13.748335250340402","13.836573676637354","13.095739690225276","13.776178883152804","13474068126.390423","978070825.3026209"
"2021-07-24","13.762694450787505","14.07067463525427","13.12966998172505","13.413844551043542","13116755499.537209","977841184.1870116"
"2021-07-23","13.405460249248792","13.521537912633143","12.32571032080092","13.113835059814514","12865197292.645426","977576074.2791592"
"2021-07-22","13.156216269516523","13.375481997858406","11.803998985047897","12.30754535487228","12029816899.52705","977356048.960974"
"2021-07-21","12.337488906665827","12.862570149800103","10.67419342618702","10.965280302314037","10714577632.544838","977116880.5432768"
"2021-07-20","10.959323505734497","11.560268258053938","10.37222152336189","11.420973024230415","11197202613.836407","976748977.3737727"
"2021-07-19","11.459230146861906","12.739144592829126","11.355918963130959","12.670642666515546","12366095418.343313","976271534.7300327"
"2021-07-18","12.653201832019771","12.936487703886028","12.261896336958726","12.294614444684537","12008295672.466755","976075369.2392894"
"2021-07-17","12.296647261104672","12.747869300939666","11.715043126179367","12.034633888967267","11738276016.442245","975876101.6606271"
"2021-07-16","12.026749170924747","13.30991021912907","12.000777108423074","13.111548960319464","12775056073.932318","975546618.2786453"
"2021-07-15","13.092194180097275","14.11172713502685","12.743096628363823","13.87543666281885","13460209942.654604","975332688.3961099"
"2021-07-14","13.806217765569317","14.231157101586478","13.16333864270741","14.193896309051626","13849240481.871525","975087947.133705"
"2021-07-13","14.19211420624674","15.102428288699466","14.009495176029864","14.859243833082687","14479425996.93868","974816175.0997792"
"2021-07-12","14.844048099883835","15.646788833786497","14.394402946658229","15.474423060725938","14851395066.355438","959609840.8056706"
"2021-07-11","15.47459175031618","15.706639037276915","15.142724313475128","15.281851562844201","14656540450.137177","959398365.1439645"
"2021-07-10","15.279446746270578","15.989164942452932","15.039261412510664","15.682119975293375","15053511152.9908","959273291.0532258"
"2021-07-09","15.675142374012117","15.91213088581074","14.824548500243807","15.322912003484886","14685289021.277853","958938158.5040134"
"2021-07-08","15.321341120815676","16.89369896142419","14.993163475529165","16.869508330394765","16160020242.753828","958740820.0409383"
"2021-07-07","16.869171257658916","17.68253391949064","16.087663437192454","16.13013752055609","15459607716.21952","958135669.0721825"
"2021-07-06","16.136608614551434","16.20085066098248","15.195702482079327","15.216141163651347","14599425621.22585","957838771.6291338"
"2021-07-05","15.228246711600411","15.97828847213644","14.578186874912106","15.971578627845917","15293252572.507107","957627382.617465"
"2021-07-04","15.97657592623049","16.577830821424563","15.165557778467189","15.515248776519822","14864810364.830393","957349942.2866083"
"2021-07-03","15.523522932085566","15.75803934359379","15.008","15.29571766539169","14641802065.925117","957154344.5216564"
"2021-07-02","15.373577815545888","15.448767993640972","15.148256524967692","15.235240714830907","14531509050.89295","956916057.1100483"
"2021-07-01","15.179140485345474","16.412078083762502","14.851750085737347","16.38145921142187","15694711225.555805","956294899.2336409"
"2021-06-30","16.40491909676873","16.629301175979936","15.090351929921484","16.248860687623978","15583167824.786554","956084423.9666693"
"2021-06-29","16.30003232044843","17.087544982383793","15.716731713138074","15.748634711198548","15097579459.016325","955852180.0835487"
"2021-06-28","15.792949824666392","16.025943668264752","14.594392374407642","15.015550094044361","14314027229.336395","955559127.1216812"
"2021-06-27","15.006190526503786","15.028037258769537","14.033728271176532","14.48951413278251","13848123632.165895","955323572.3626049"
"2021-06-26","14.510834538944575","14.977858382182779","13.623885386793484","14.452821911071956","13782442210.13673","955137289.5135113"
"2021-06-25","14.422736429209593","16.74166295479856","14.41150171185125","16.24731854620404","15485099075.905779","954765713.0251945"
"2021-06-24","16.219557457493465","16.605656931939507","14.72832149626948","15.790141943660743","15072479426.505768","954519642.265007"
"2021-06-23","15.797022406859291","16.830530751969732","13.9458232617032","14.635943948184043","14028311222.054876","954293142.6669872"
"2021-06-22","14.690899142193391","22.7","13.01187245684077","15.780621745107926","15043564774.635082","954080440.6527126"
"2021-06-21","15.71464326873113","20.788444576889834","15.373572553990986","20.62053840301363","19679237888.204376","953804291.780541"
"2021-06-20","20.613925093154876","20.99983432166073","18.884623421327568","20.30517981695132","19283939964.178288","953484436.1796688"
"2021-06-19","20.224669363794956","21.63588622469726","20.219206558255486","21.36576404247403","20436831111.428474","953285681.4214084"
"2021-06-18","21.44214245520815","22.566112251695802","20.2078563223994","22.4987599560451","21470200951.95459","952936545.6966141"
