"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Marketcap","Circulating Supply"
"2021-09-17","5.35079801059466","5.521129153210111","4.949784682966757","5.018321018786842","4808810713.765714","958250916.1457"
"2021-09-16","5.018703330342894","5.186769847331416","4.878882277573214","5.105654986612467","4892069731.268987","958166923.5576"
"2021-09-15","5.106020125823071","5.15951133649981","4.775109597543343","4.861776770931809","4657985350.275056","958082933.4092001"
"2021-09-14","4.864386522341171","4.88190925623182","4.704805416528752","4.740965732682278","4541840212.753268","957998953.9776"
"2021-09-13","4.742678722151019","4.95645646339321","4.48636706628354","4.880794593348811","4675386264.314483","957914981.8527"
"2021-09-12","4.880006405418613","4.965753250473557","4.574960334091233","4.6733415149357524","4476271442.539818","957831014.1114"
"2021-09-11","4.674732350274136","4.787799995365163","4.548588236589474","4.565384727121121","4372483758.023351","957747050.7684001"
"2021-09-10","4.567402923591353","5.054090995508345","4.455981666757527","4.815151709208617","4611293099.131178","957663097.1590002"
"2021-09-09","4.81601054598446","4.9536622959857795","4.657659266152552","4.801534973220105","4597849787.147312","957579151.8319"
"2021-09-08","4.745301085680157","4.967739389578235","4.423110587376496","4.887207058049085","4679477350.303345","957495210.3976"
"2021-09-07","4.888149073558524","6.259068335745955","4.278605978204818","6.220088632602234","5955182987.161565","957411274.8085"
"2021-09-06","6.2203388350949735","6.426769579885926","5.891083141052791","6.295741020000199","6027085063.404106","957327349.4347001"
"2021-09-05","6.297616605379558","6.3322381329269914","5.519061316965333","5.696155199834187","5452609630.240045","957243866.9506"
"2021-09-04","5.694956310697405","5.890061635855286","5.547775017312661","5.675608513086083","5432463555.736501","957159667.2341"
"2021-09-03","5.671726153204129","5.742631791988386","5.12941029684399","5.2577224992855065","5032037990.352042","957075614.2105001"
"2021-09-02","5.258005943843273","5.391392493974807","5.17481945710862","5.312085556340056","5083621864.886341","956991714.6418998"
"2021-09-01","5.313841071424998","5.333248198800847","4.907483498041722","4.98682415293907","4771931011.683792","956907816.5452"
"2021-08-31","5.040516856862791","5.099962778404715","4.7557917147523305","4.818088928972749","4610062798.702706","956823933.0289001"
"2021-08-30","4.820463422308523","5.081575838763578","4.8007664489556","5.061469151752507","4842510283.751288","956740056.8023999"
"2021-08-29","5.062825062860419","5.246475349482012","4.974705757634797","5.006165623529444","4789179279.982693","956656179.6264"
"2021-08-28","5.010118638163611","5.106255238150542","4.878932533413124","5.087916293562572","4866959862.955545","956572314.1148"
"2021-08-27","5.092482292478021","5.094817654419414","4.624192397250752","4.737247788782384","4531122806.6251955","956488452.505"
"2021-08-26","4.741158636367993","5.276328888630029","4.650809893305559","5.209115769327632","4981978641.258953","956404599.1562"
"2021-08-25","5.210336350572868","5.251787043126399","4.905992852234686","5.0599105329549845","4840164788.449863","956340010.1473"
